id_str,ra,dec,z,anillos,dataset,ring_class,ring_class_0,ring_class_1,ring_class_2,ring_class_3,inner_ring,outer_ring,file_loc,file_rel,validation_status
manga-10001-1902,134.193923352,56.7867469988,0.0253909,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10001-1902_0.fits,Images/manga-10001-1902_0.fits,ok
manga-10001-6103,134.008123053,57.3909643699,0.0406264,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10001-6103_0.fits,Images/manga-10001-6103_0.fits,ok
manga-10213-12705,122.931168093,41.5549778649,0.0315479,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10213-12705_0.fits,Images/manga-10213-12705_0.fits,ok
manga-10213-1901,124.082783686,43.4476368387,0.0241983,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10213-1901_0.fits,Images/manga-10213-1901_0.fits,ok
manga-10213-6103,121.096386831,43.5825885672,0.0409014,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10213-6103_0.fits,Images/manga-10213-6103_0.fits,ok
manga-10213-9101,122.363515778,43.9349178253,0.0229631,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10213-9101_0.fits,Images/manga-10213-9101_0.fits,ok
manga-10214-12703,121.367176743,35.9466955876,0.033019,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10214-12703_0.fits,Images/manga-10214-12703_0.fits,ok
manga-10214-1901,122.194114188,35.4369387111,0.0924488,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10214-1901_0.fits,Images/manga-10214-1901_0.fits,ok
manga-10215-12704,123.448616143,37.0503815874,0.0306034,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10215-12704_0.fits,Images/manga-10215-12704_0.fits,ok
manga-10215-1901,122.118199278,38.1518625278,0.0212176,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10215-1901_0.fits,Images/manga-10215-1901_0.fits,ok
manga-10215-3702,121.370110164,37.557853221,0.0337287,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10215-3702_0.fits,Images/manga-10215-3702_0.fits,ok
manga-10216-6102,116.730202777,18.482375517,0.0440461,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10216-6102_0.fits,Images/manga-10216-6102_0.fits,ok
manga-10216-9102,116.446792381,18.312577531,0.0520187,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10216-9102_0.fits,Images/manga-10216-9102_0.fits,ok
manga-10217-1901,119.06828621,15.2400782037,0.0291682,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10217-1901_0.fits,Images/manga-10217-1901_0.fits,ok
manga-10217-3704,118.395673439,14.4733243477,0.0595888,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10217-3704_0.fits,Images/manga-10217-3704_0.fits,ok
manga-10218-12705,118.61245,16.2148,0.01588,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10218-12705_0.fits,Images/manga-10218-12705_0.fits,ok
manga-10218-3704,119.168808316,16.9201143063,0.0286968,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10218-3704_0.fits,Images/manga-10218-3704_0.fits,ok
manga-10219-12704,124.83882348,21.90942806,0.0407711,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10219-12704_0.fits,Images/manga-10219-12704_0.fits,ok
manga-10220-1901,120.805213561,33.132338795,0.0175908,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10220-1901_0.fits,Images/manga-10220-1901_0.fits,ok
manga-10220-3702,120.436461244,31.8383638274,0.0698676,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10220-3702_0.fits,Images/manga-10220-3702_0.fits,ok
manga-10221-6104,124.698297548,24.5374298193,0.024877,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10221-6104_0.fits,Images/manga-10221-6104_0.fits,ok
manga-10222-12704,43.1620244157,-7.3159057948,0.070914,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10222-12704_0.fits,Images/manga-10222-12704_0.fits,ok
manga-10222-6103,42.9848765783,-8.37704983026,0.061948,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10222-6103_0.fits,Images/manga-10222-6103_0.fits,ok
manga-10223-3703,33.4762490468,0.448261788956,0.0248072,12,manga,3,0.0,0.0,0.0,1.0,1,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10223-3703_0.fits,Images/manga-10223-3703_0.fits,ok
manga-10224-3704,35.418845091,0.255233152292,0.0249796,8,manga,2,0.0,0.0,1.0,0.0,0,1,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10224-3704_0.fits,Images/manga-10224-3704_0.fits,ok
manga-10224-6101,34.8287929835,-0.820877062224,0.0263448,4,manga,1,0.0,1.0,0.0,0.0,1,0,C:\Users\dark_\Downloads\Project_2 - Copy\Images\manga-10224-6101_0.fits,Images/manga-10224-6101_0.fits,ok
